Year,Variable,Category,Unit of measure,Value
2005,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.2
2006,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.3
2007,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.5
2008,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.7
2009,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.8
2010,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.7
2011,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.7
2012,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.7
2013,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.7
2014,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.7
2015,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.8
2016,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.9
2017,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.9
2018,"Population having at least a bath, a shower or a toilet in their household",Total ,Percent (%),99.9
